2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-14/18:00:24		 wafer_20022020_090716.csv: File loaded successfully!!
